,metric,WindowAverage,Naive,RWD,HistoricAverage,AutoETS,AutoARIMA
0,mae,0.05480995367894978,0.07634232156677274,0.07653022004691186,0.05448061019553058,0.05457867302676272,0.05510921591406911
1,mase,0.7342548652094283,1.026791012157303,1.0293134055975517,0.7299054240588023,0.7311828346909237,0.7384384092079646
2,rmae_Naive,0.7194147911995813,1.0,1.002480832483719,0.7159354851773604,0.7172125200946519,0.723652670511745
3,rmse,0.0673741002204647,0.09357304306405208,0.09379806954136242,0.06690469442881364,0.06704867348168828,0.06773397585307107
4,scaled_crps,2.0552185947329513,2.822817264909049,2.8299298630813694,2.049493572355713,2.0456112815645775,2.089432907786674
