unique_id,ds,cutoff,actual,WindowAverage,WindowAverage-lo-95,WindowAverage-lo-90,WindowAverage-lo-85,WindowAverage-lo-80,WindowAverage-hi-80,WindowAverage-hi-85,WindowAverage-hi-90,WindowAverage-hi-95,Naive,Naive-lo-95,Naive-lo-90,Naive-lo-85,Naive-lo-80,Naive-hi-80,Naive-hi-85,Naive-hi-90,Naive-hi-95,RWD,RWD-lo-95,RWD-lo-90,RWD-lo-85,RWD-lo-80,RWD-hi-80,RWD-hi-85,RWD-hi-90,RWD-hi-95,HistoricAverage,HistoricAverage-lo-95,HistoricAverage-lo-90,HistoricAverage-lo-85,HistoricAverage-lo-80,HistoricAverage-hi-80,HistoricAverage-hi-85,HistoricAverage-hi-90,HistoricAverage-hi-95,AutoETS,AutoETS-lo-95,AutoETS-lo-90,AutoETS-lo-85,AutoETS-lo-80,AutoETS-hi-80,AutoETS-hi-85,AutoETS-hi-90,AutoETS-hi-95,AutoARIMA,AutoARIMA-lo-95,AutoARIMA-lo-90,AutoARIMA-lo-85,AutoARIMA-lo-80,AutoARIMA-hi-80,AutoARIMA-hi-85,AutoARIMA-hi-90,AutoARIMA-hi-95
AA,2023-04-01,2023-03-01,-0.12577509845835866,0.05028264487629165,-0.2545253499577352,-0.21996973011301227,-0.19194019547415306,-0.17373965181083464,0.2743049415634179,0.2925054852267363,0.3205350198655956,0.35509063971031835,-0.13036368572740986,-0.5245809786777531,-0.5073882538547432,-0.4593818729162363,-0.45767877601992013,0.1969514045651004,0.19865450146141655,0.24666088239992343,0.263853607222933,-0.13067412852366922,-0.5266440063789412,-0.5088463577464186,-0.46112331617560126,-0.4578583854455421,0.19651012839820367,0.19977505912826282,0.2474981006990802,0.2652957493316024,0.013232394815324277,-0.27039844936395413,-0.25689313626247495,-0.23779005180562598,-0.2017151993449714,0.22817998897561997,0.2642548414362745,0.28335792589312353,0.2968632389946025,0.013212203512776244,-0.27044700862675103,-0.256976116403131,-0.23783413368902453,-0.20184626782414938,0.22827067484970187,0.26425854071457694,0.2834005234286835,0.2968714156523033,0.013232394003818145,-0.2877917534800333,-0.2608061317332211,-0.24617502460152982,-0.216931181321142,0.24339596932877824,0.27263981260916603,0.2872709197408574,0.3142565414876695
AA,2023-05-01,2023-04-01,-0.14593438705627793,0.04579238121058512,-0.2590156136234417,-0.22445999377871878,-0.1964304591398596,-0.17822991547654116,0.26981467789771135,0.28801522156102977,0.3160447561998891,0.3506003760446118,-0.12577509845835866,-0.5199923914087019,-0.502799666585692,-0.4547932856471851,-0.4530901887508689,0.2015399918341516,0.20324308873046776,0.25124946966897466,0.2684421944919842,-0.1260607986785306,-0.5220306765338024,-0.50423302790128,-0.45650998633046264,-0.45324505560040346,0.2011234582433423,0.20438838897340145,0.2521114305442188,0.269909079176741,0.012533864698371096,-0.27109697948090733,-0.25759166637942815,-0.23848858192257918,-0.2024137294619246,0.22748145885866677,0.2635563113193213,0.28265939577617033,0.2961647088776493,0.012581668475313564,-0.2710775436642137,-0.2576066514405937,-0.23846466872648722,-0.20247680286161207,0.22764013981223918,0.26362800567711425,0.2827699883912208,0.2962408806148406,0.012533862767075526,-0.2884902847167759,-0.2615046629699637,-0.24687355583827245,-0.21762971255788463,0.24269743809203562,0.2719412813724234,0.28657238850411476,0.3135580102509269
AA,2023-06-01,2023-05-01,0.0727051725233594,0.042326540988607164,-0.26248145384541965,-0.22792583400069674,-0.19989629936183756,-0.18169575569851912,0.2663488376757334,0.28454938133905183,0.31257891597791115,0.34713453582263387,-0.14593438705627793,-0.5401516800066212,-0.5229589551836112,-0.47495257424510434,-0.4732494773487882,0.18138070323623234,0.1830838001325485,0.23109018107105536,0.24828290589406496,-0.14631995455473001,-0.542289832410002,-0.5244921837774794,-0.47676914220666206,-0.4735042114766029,0.18086430236714288,0.18412923309720203,0.23185227466801941,0.24964992330054156,0.011741523439597851,-0.2718893207396806,-0.2583840076382014,-0.2392809231813524,-0.20320607072069782,0.22668911759989355,0.262763970060548,0.2818670545173971,0.29537236761887603,0.011762927741932383,-0.2718962843975949,-0.25842539217397487,-0.2392834094598684,-0.20329554359499324,0.226821399078858,0.2628092649437331,0.28195124765783963,0.29542213988145943,0.0,-0.3010241474838514,-0.27403852573703924,-0.25940741860534794,-0.23016357532496015,0.2301635753249601,0.2594074186053479,0.27403852573703924,0.30102414748385137
AA,2023-07-01,2023-06-01,0.06660737511407278,0.04276272248394397,-0.26204527235008285,-0.22748965250535993,-0.19946011786650075,-0.1812595742031823,0.2667850191710702,0.28498556283438864,0.31301509747324796,0.3475707173179707,0.0727051725233594,-0.3215121204269838,-0.30431939560397386,-0.256313014665467,-0.2546099177691509,0.40002026281586966,0.4017233597121858,0.4497297406506927,0.46692246547370225,0.07341473066029776,-0.3225551471949742,-0.30475749856245166,-0.2570344569916343,-0.2537695262615751,0.4005989875821706,0.4038639183122298,0.45158695988304715,0.46938460851556935,0.012044825176332983,-0.27158601900294543,-0.25808070590146626,-0.2389776214446173,-0.2029027689839627,0.22699241933662867,0.2630672717972832,0.2821703562541322,0.2956756693556112,0.01199297503164239,-0.2716662371078849,-0.2581953448842649,-0.23905336217015838,-0.20306549630528323,0.22705144636856803,0.26303931223344307,0.2821812949475496,0.2956521871711694,0.012044823888503734,-0.28897932359534767,-0.2619937018485355,-0.24736259471684421,-0.21811875143645643,0.24220839921346382,0.27145224249385164,0.286083349625543,0.3130689713723551
AA,2023-08-01,2023-07-01,-0.16883094628822104,0.04477222227647318,-0.2600357725575536,-0.22548015271283073,-0.19745061807397155,-0.1792500744106531,0.2687945189635994,0.2869950626269179,0.31502459726577714,0.34958021711049986,0.06660737511407278,-0.3276099178362704,-0.3104171930132605,-0.26241081207475364,-0.2607077151784375,0.39392246540658304,0.3956255623028992,0.4436319432414061,0.46082466806441563,0.06728306581048266,-0.3286868120447893,-0.31088916341226674,-0.2631661218414494,-0.2599011911113902,0.3944673227323555,0.3977322534624147,0.44545529503323206,0.46325294366575426,0.012314936809688131,-0.27131590736959027,-0.2578105942681111,-0.23870750981126215,-0.20263265735060756,0.2272625309699838,0.26333738343063834,0.2824404678874874,0.29594578098896634,0.012445702388333976,-0.2712135097511933,-0.25774261752757327,-0.2386006348134668,-0.20261276894859165,0.2275041737252596,0.2634920395901347,0.28263402230424123,0.29610491452786103,0.01231493475159649,-0.2887092127322549,-0.26172359098544273,-0.24709248385375146,-0.21784864057336367,0.24247851007655657,0.2717223533569444,0.28635346048863575,0.3133390822354479
AA,2023-09-01,2023-08-01,-0.031055601424568313,0.031108809323199767,-0.2604736139035368,-0.21990463003423724,-0.19775548277639404,-0.18402687597076323,0.24624449461716275,0.25997310142279356,0.2821222486806368,0.32269123254993626,-0.16883094628822104,-0.5630482392385643,-0.5458555144155544,-0.4977999323724261,-0.4792851283634984,0.14162323578705627,0.160138039795984,0.20819362183911225,0.22538634666212184,-0.16932413683982453,-0.5652940146950964,-0.547496366062574,-0.49977332449175654,-0.48044454227178157,0.14179626859213249,0.1611250508121075,0.2088480923829249,0.22664574101544704,0.011422592557974294,-0.26228013256539096,-0.25257488790553,-0.2137609021665632,-0.19794401152376204,0.22078919663971058,0.23660608728251176,0.2754200730214786,0.28512531768133953,0.011457020591807004,-0.2623004356280128,-0.25259556562922947,-0.2137446726700771,-0.19797214551177472,0.2208861866953887,0.23665871385369108,0.2755096068128435,0.28521447681162676,0.0,-0.28035443178616926,-0.2701255321030209,-0.24004981211873272,-0.1890075901161286,0.1890075901161286,0.2400498121187327,0.2701255321030209,0.28035443178616914
AA,2023-10-01,2023-09-01,-0.11768753534394505,0.026633341072617493,-0.26494908215411905,-0.2243800982848195,-0.2022309510269763,-0.18850234422134549,0.2417690263665805,0.25549763317221125,0.27764678043005453,0.318215764299354,-0.031055601424568313,-0.4252728943749115,-0.4080801695519016,-0.36002458750877336,-0.3415097834998457,0.279398580650709,0.29791338465963674,0.345968966702765,0.36316169152577454,-0.030867666185948876,-0.4268375440412208,-0.4090398954086983,-0.3613168538378809,-0.34198807161790595,0.28025273924600813,0.29958152146598316,0.3473045630368005,0.3651022116693227,0.011214366116883399,-0.2624883590064818,-0.2527831143466209,-0.2139691286076541,-0.19815223796485293,0.2205809701986197,0.23639786084142086,0.2752118465803877,0.28491709124024867,0.011177407099937926,-0.26258004911988186,-0.2528751791210985,-0.2140242861619462,-0.1982517590036438,0.22060657320351962,0.23637910036182197,0.27522999332097436,0.2849348633197577,0.0,-0.28035443178616926,-0.2701255321030209,-0.24004981211873272,-0.1890075901161286,0.1890075901161286,0.2400498121187327,0.2701255321030209,0.28035443178616914
AA,2023-11-01,2023-10-01,0.052056815198715745,0.017241672318576057,-0.2743407509081605,-0.23377176703886093,-0.21162261978101773,-0.194173856216335,0.22865720085348715,0.24610596441816984,0.26825511167601307,0.30882409554531254,-0.11768753534394505,-0.5119048282942883,-0.4947121034712783,-0.4466565214281501,-0.4281417174192224,0.19276664673133226,0.21128145074026,0.25933703278338827,0.2765297576063978,-0.11792518769923736,-0.5138950655545093,-0.4960974169219868,-0.4483743753511694,-0.42904559313119445,0.19319521773271964,0.21252399995269466,0.260247041523512,0.2780446901560342,0.010585576353659844,-0.2631171487697054,-0.25341190410984443,-0.21459791837087766,-0.17053396246558317,0.19170511517290284,0.2357690710781973,0.27458305681716416,0.2842883014770251,0.010668536402882942,-0.26308891981693683,-0.2533840498181535,-0.21453315685900115,-0.17057200573556197,0.19190907854132788,0.235870229664767,0.2747211226239194,0.28442599262270274,0.0,-0.28035443178616926,-0.2701255321030209,-0.225503367515519,-0.179022343377687,0.17902234337768697,0.22550336751551886,0.2701255321030209,0.28035443178616914
AA,2023-12-01,2023-11-01,0.2658229192939172,0.014338144454733387,-0.2772442787720032,-0.23667529490270361,-0.21452614764486042,-0.1970773840801777,0.22575367298964447,0.24320243655432716,0.2653515838121704,0.30592056768146986,0.052056815198715745,-0.34216047775162745,-0.3249677529286175,-0.2769121708854893,-0.2583973668765616,0.36251099727399305,0.3810258012829208,0.42908138332604906,0.4462741081490586,0.05264834334536467,-0.34332153450990727,-0.32552388587738473,-0.2778008443065674,-0.2584720620865924,0.3637687487773217,0.3830975309972967,0.43082057256811407,0.44861822120063627,0.010786893047082448,-0.2629158320762828,-0.25321058741642183,-0.21439660167745506,-0.17033264577216056,0.19190643186632544,0.2359703877716199,0.27478437351058677,0.2844896181704477,0.010811070921698342,-0.2629463852981214,-0.2532415152993381,-0.21439062234018577,-0.1704294712167466,0.19205161306014326,0.2360127641835824,0.2748636571427348,0.28456852714151815,0.0,-0.28035443178616926,-0.2701255321030209,-0.225503367515519,-0.179022343377687,0.17902234337768697,0.22550336751551886,0.2701255321030209,0.28035443178616914
AA,2024-01-01,2023-12-01,-0.1250000143718022,0.018260577027147673,-0.2733218461995889,-0.23480327115004615,-0.22396226332329705,-0.2055914400233932,0.24211259407768854,0.26048341737759234,0.2713244252043415,0.30984300025388417,0.2658229192939172,-0.128394373656426,-0.11120164883341607,-0.06314606679028785,-0.04463126278136014,0.5762771013691945,0.5947919053781223,0.6428474874212505,0.6600402122442601,0.26744927547915137,-0.12852060237612054,-0.11072295374359804,-0.06299991217278067,-0.043671129952805685,0.5785696809111084,0.5978984631310834,0.6456215047019008,0.6634191533344229,0.012018951144893241,-0.261683773978472,-0.25197852931861103,-0.23487421427718444,-0.19979300735053274,0.22383090964031918,0.2589121165669709,0.27601643160839756,0.2857216762682585,0.012069279649137,-0.2616881765706828,-0.25198330657189943,-0.23479800593357658,-0.19986113419589674,0.22399969349417073,0.25893656523185055,0.27612186587017346,0.2858267358689568,0.012018949455116952,-0.2683354823310523,-0.258106582647904,-0.2462743386168472,-0.17698864066101166,0.20102653957124555,0.27031223752708106,0.28214448155813787,0.2923733812412861
