,Annualised Return,Annualised Volatility,Sharpe Ratio,Maximum Drawdown
MaxSharpe,0.216206158656558,0.26198183681497794,0.5611742349494265,-0.5414553542018296
MinVol,0.08635790988087044,0.14105748805890383,0.2413871223314303,-0.3258811264622339
HRP,0.13971249742316272,0.15724508995881759,0.5215748668316801,-0.3449850940312684
EqualWeight,0.17839159406755933,0.18082892376948315,0.6382222345320077,-0.36511458685745696
