Date,MaxSharpe,MinVol,HRP,EqualWeight
2016-06-03,0.0019043442571115652,0.0027995867783442738,-0.001718120411964617,-0.003591236289474176
2016-06-06,-0.00016821249796527182,0.005030957865298395,0.005052179538399505,0.006549816983247066
2016-06-07,-0.002196228332591442,0.0011918782665909767,0.0015942483412592814,0.0006754539783069325
2016-06-08,0.007406243522186141,0.004150926798801093,0.0037705593993551017,0.0038309216464070856
2016-06-09,0.009189921803749515,0.003928564189532982,0.0007607569327322381,-0.0010005239410102733
2016-06-10,-0.008817348097444947,0.0008857976148123839,-0.00446975274320778,-0.007953343018836434
2016-06-13,-0.003072485565634214,-0.006976368175740648,-0.007344798279125022,-0.00840657076753721
2016-06-14,0.003928998173477714,0.001430227030535909,-0.0015247662298962141,-0.0032679987873408868
2016-06-15,0.0021552166893841524,-0.002143610272771821,-0.0016749424919035455,-0.0009414497290851067
2016-06-16,0.007446472074649041,0.004279254829521974,0.00489302785681663,0.00422488062609498
2016-06-17,-0.011563637847604905,-0.004529324137503269,-0.0031841555212781428,-0.0021676845850954456
2016-06-20,0.010501519332157386,0.004092341724299258,0.006128077364039366,0.0070699834126506465
2016-06-21,9.087748752446313e-05,0.0030776627265312407,0.002271331098043871,0.00262066861127464
2016-06-22,-0.0017235904790572118,-0.002510771740201444,-0.0027375949439462565,-0.0031727145813031043
2016-06-23,0.012135038409497888,0.008258952018110742,0.011628737310593402,0.014097871465266802
2016-06-24,-0.01810448626242598,-0.017897667744832847,-0.02879943198809898,-0.03710230294273227
2016-06-27,0.0012962259020805542,-0.005538365866044472,-0.012648564802259949,-0.017369276529033792
2016-06-28,0.00880759455954953,0.009796601554714112,0.01447035207147721,0.016919933955103633
2016-06-29,0.007560601502356535,0.012281186738675988,0.015134925653832664,0.016456746674132005
2016-06-30,0.010033826767369199,0.013097620156773331,0.014027596865616367,0.014629910302108315
2016-07-01,-0.00031780319175756384,0.0015596138047886713,0.002347635670190861,0.0025001566323438226
2016-07-05,0.009031811976777293,0.0027919160390063244,-0.004286834833363345,-0.007475485083098021
2016-07-06,0.004431067163997215,0.002152663307195446,0.0059363696590398335,0.006356113941551001
2016-07-07,0.0020853644474246504,-0.00555510147066259,-0.0012959235745838896,0.0007935855179644523
2016-07-08,0.016197114573481382,0.007564414152917736,0.013551974804195887,0.01632510596096555
2016-07-11,0.006680373008688896,0.0016946231708540474,0.0038027681889019156,0.005228071917286246
2016-07-12,-0.004107069166472101,-0.0011267693186811601,0.0054131958192761885,0.009230494365870265
2016-07-13,0.002219039572156225,0.00327625870921095,0.0016928931949247183,0.0008695465210388463
2016-07-14,0.0009772604797931121,0.0038576826482681634,0.0051978963604051185,0.006307941640185398
2016-07-15,-4.805449715430737e-05,0.00015101174157255878,0.0011901976709304104,0.0014181886411932083
2016-07-18,-0.0007362958972136203,1.349885840991208e-06,0.0008830910590577655,0.0018178399451131628
