Date,AA,AAPL,AIG,AMGN,AMZN,AXP,BA,BAC,C,CAT,CRM,CSCO,CVX,DD,DIS,DOW,DWDP,EK,GE,GM,GS,HD,HON,HPQ,IBM,INTC,IP,JNJ,JPM,KFT,KO,MCD,MMM,MO,MRK,MSFT,NKE,NVDA,PFE,PG,SBC,SHW,T,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2006-01-01,60.425838470458984,2.2625064849853516,789.755615234375,49.301979064941406,2.240999937057495,38.75958251953125,48.60415267944336,28.642330169677734,299.99603271484375,40.98967742919922,10.139303207397461,12.015740394592285,27.285600662231445,14.029828071594238,20.2903995513916,,,,96.6552734375,,102.32763671875,24.586118698120117,21.900619506835938,8.74907398223877,41.706844329833984,12.452587127685547,14.28416633605957,32.04429626464844,23.494564056396484,,11.261231422424316,20.086551666259766,33.64734649658203,5.03533935546875,16.260263442993164,19.583797454833984,7.731490135192871,0.3435076177120209,10.233574867248535,33.57510757446289,,13.497387886047363,4.7262091636657715,28.33026885986328,46.19706726074219,,,10.111479759216309,,10.250126838684082,31.58073616027832
2006-02-01,56.243980407714844,2.05216646194458,800.6140747070312,51.05381774902344,1.871999979019165,39.907386779785156,51.72061538696289,29.691402435302734,298.6436462402344,44.29262924194336,8.607911109924316,13.096318244934082,25.953027725219727,14.271953582763672,22.438886642456055,,,,97.0094985961914,,102.54820251464844,25.55623435974121,23.342803955078125,9.206452369689941,41.16305160522461,12.065998077392578,14.345460891723633,32.10556411743164,24.52359390258789,,11.421795845031738,20.029176712036133,34.035850524902344,5.0047125816345215,16.42994499206543,18.69331169128418,8.288310050964355,0.36008667945861816,10.436814308166504,34.134857177734375,,11.622041702270508,5.115291118621826,26.831953048706055,45.27187728881836,,,10.902612686157227,,10.083407402038574,29.879629135131836
2006-03-01,58.903133392333984,1.8792800903320312,797.3562622070312,49.2072868347168,1.8265000581741333,38.92230224609375,55.6824951171875,29.490663528442383,307.4338684082031,43.52288055419922,8.973469734191895,14.021601676940918,26.85110092163086,13.465982437133789,22.358718872070312,,,,103.41500091552734,,113.92146301269531,25.647174835205078,24.51265525817871,9.231704711914062,42.41327667236328,11.452292442321777,15.246837615966797,33.166709899902344,24.8216495513916,,11.394586563110352,19.713626861572266,35.2285041809082,4.932323455810547,16.604331970214844,18.99399185180664,8.127859115600586,0.43748313188552856,10.026277542114258,32.824832916259766,,12.614571571350098,5.013319492340088,26.08905792236328,43.429290771484375,,,11.01907730102539,,10.501328468322754,30.792268753051758
2006-04-01,65.10957336425781,2.1090965270996094,789.0060424804688,45.791507720947266,1.7604999542236328,39.85556411743164,59.62662887573242,32.68345642089844,325.13909912109375,45.90480041503906,8.657310485839844,13.5557279586792,28.26382827758789,13.591583251953125,22.414838790893555,,,,102.85002136230469,,116.33836364746094,24.29740333557129,24.357908248901367,9.133195877075195,42.346431732177734,11.758316993713379,16.031890869140625,32.825069427490234,27.051067352294922,,11.502447128295898,19.83411407470703,39.76180648803711,5.148177623748779,16.401153564453125,16.85795021057129,7.830776214599609,0.4464983642101288,10.191232681274414,33.155189514160156,,13.069018363952637,4.859432220458984,27.636566162109375,38.69192123413086,,,10.6858549118042,,10.047109603881836,31.91548728942871
2006-05-01,61.139015197753906,1.7908886671066284,735.1959838867188,45.717105865478516,1.7304999828338623,40.35388946533203,59.483741760253906,31.688304901123047,324.2353515625,44.354244232177734,7.288938045501709,12.733966827392578,27.69409942626953,13.343918800354004,24.451087951660156,,,,101.86882781982422,,109.78736877441406,23.19600486755371,23.601381301879883,9.107879638671875,41.091556549072266,10.604846000671387,14.98662281036377,33.72676467895508,25.62554168701172,,12.069891929626465,19.030881881713867,38.93800354003906,5.091180324554443,15.862707138061523,15.810880661010742,7.684378147125244,0.35114768147468567,9.519332885742188,31.071170806884766,,12.409667015075684,4.911557674407959,27.630298614501953,34.19575881958008,,,10.217194557189941,,10.810185432434082,30.81756591796875
2006-06-01,62.646724700927734,1.7159814834594727,715.806884765625,44.12083053588867,1.934000015258789,39.50761413574219,58.726470947265625,31.818552017211914,317.32965087890625,45.28449630737305,6.584990501403809,12.63691520690918,28.992616653442383,13.062782287597656,24.05025291442871,,,,98.00341033935547,,109.4091796875,21.77820587158203,23.21893310546875,8.910982131958008,39.650394439697266,11.23895263671875,14.350228309631348,33.76704025268555,25.240930557250977,,11.79301929473877,19.27758026123047,37.79327392578125,5.167181015014648,17.56026268005371,16.328027725219727,7.7503981590271,0.32532307505607605,9.532567024230957,31.844375610351562,,12.243115425109863,5.2564592361450195,27.98179054260254,34.8336181640625,,,10.963597297668457,,10.785402297973633,31.19631004333496
2006-07-01,57.98113250732422,2.0362861156463623,735.4447021484375,47.15106964111328,1.344499945640564,38.6464958190918,55.507320404052734,34.087547302246094,317.7242736816406,43.08958053588867,6.347872734069824,11.569279670715332,30.730497360229492,11.688624382019043,23.80173110961914,,,,97.92772674560547,,111.09651184082031,21.205934524536133,22.29708480834961,8.999731063842773,39.954925537109375,10.647430419921875,15.252128601074219,35.24915313720703,27.41645050048828,,12.286677360534668,20.304574966430664,32.94102478027344,5.6914381980896,19.411251068115234,16.860614776611328,7.5735697746276855,0.3383118808269501,10.556097030639648,32.18800735473633,,13.047633171081543,5.652248382568359,28.92354965209961,37.2061653137207,,,11.071630477905273,,9.963682174682617,34.44561004638672
2006-08-01,55.34825134277344,2.032989740371704,773.62890625,46.01472091674805,1.5414999723434448,39.112159729003906,53.7005729675293,34.047855377197266,324.564208984375,40.517059326171875,8.516521453857422,14.22866153717041,30.08579444885254,12.888583183288574,23.769662857055664,,,,102.03170013427734,,108.37584686279297,20.949342727661133,22.30861473083496,10.311189651489258,41.79240036010742,11.57612133026123,15.447599411010742,36.43821334838867,27.66444206237793,,12.372268676757812,20.597177505493164,33.54930114746094,5.944802761077881,19.546220779418945,18.009889602661133,7.742302417755127,0.44481784105300903,11.193760871887207,35.650665283203125,,13.315810203552246,5.961310386657715,27.72367286682129,40.41103744506836,,,11.65868854522705,,10.012941360473633,34.41001510620117
2006-09-01,54.562904357910156,2.306551933288574,805.2962646484375,48.382080078125,1.6059999465942383,41.74742889404297,56.75041580200195,35.82063293457031,329.9875793457031,40.181190490722656,8.862320899963379,14.869239807128906,30.538204193115234,13.175899505615234,24.779773712158203,,,,105.74635314941406,,123.33625793457031,22.159015655517578,23.70522689819336,10.347854614257812,42.46175765991211,12.237212181091309,15.497674942016602,36.80834197998047,28.452089309692383,,12.336379051208496,22.444623947143555,35.048179626464844,5.448038101196289,20.3846492767334,19.236751556396484,8.399956703186035,0.45215243101119995,11.62534236907959,35.696712493896484,,14.454517364501953,6.235152721405029,29.61190414428711,38.27185821533203,,,12.304920196533203,,11.084695816040039,34.278472900390625
2006-10-01,56.25585174560547,2.4293994903564453,816.355712890625,51.344661712646484,1.9045000076293945,43.035282135009766,57.47734069824219,36.02124786376953,333.2429504394531,37.07294845581055,9.637895584106445,15.613348960876465,31.639963150024414,13.919188499450684,25.220699310302734,,,,105.93338012695312,,138.36965942382812,22.90580940246582,24.412322998046875,10.95024299621582,47.84591293334961,12.695293426513672,14.924844741821289,38.202693939208984,28.74290657043457,,12.989548683166504,24.05108070373535,37.12978744506836,5.848785877227783,22.097158432006836,20.19330596923828,8.825241088867188,0.5328338146209717,10.924382209777832,36.50880813598633,,15.348528861999512,6.558783054351807,32.47969436645508,37.94514465332031,,,12.261837005615234,,11.075704574584961,36.48537826538086
